question_number,question_text,question_responses
Q12_1,Availability of library facilities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q12_2,Hours of operation offered at City libraries,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q12_3,Maintenance of City libraries,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q12_4,"Quality of library programs (e.g., early literacy, story time, book discussions, community speakers, etc.)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q12_5,Quality of library services and librarians in YOUR neighborhood,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q12_6,"Resources like computers, tablets, the Internet, books, e-books, CDs/DVDs, downloadable music, etc.","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q13,Please rate your satisfaction with the following services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q13_1,Access to City officials,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q13_2,Access to information about City programs and services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q13_3,Outreach efforts to keep the public informed about capital projects,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q13_4,Overall usefulness of the City's website,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q13_5,The City's television channel (City 24),"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14,Please rate your satisfaction with the following:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_1,"Blight (rundown buildings, vacant lots, and abandoned vehicles)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_2,Code enforcement,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_3,Ease of obtaining permits from Development Services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_4,Efforts to address homelessness,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_5,Efforts to assist low- to moderate-income residents and communities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_6,Efforts to plan for future growth,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_7,Efforts to support job creation and investment by local businesses,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_8,Gang prevention efforts,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_9,Graffiti removal,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_10,Historic preservation efforts,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_11,"Music, dance, and theater performances; visual art and cultural exhibitions; parades, festivals, art classes, and public art","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_12,"Online services (e.g., paying a bill, getting a business license)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_13,Quality of services provided to people with disabilities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_14,"Quality/variety of entertainment, expositions, and sporting events at the Convention Center, Petco Park, and QUALCOMM Stadium","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q14_15,Traffic congestion on City streets,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q15,How would you rate the City employees with whom you had contact most recently in terms of?,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q15_1,Courtesy,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q15_2,Knowledge,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q15_3,Overall customer service,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q15_4,Responsiveness,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q16,Is there anything that the City of San Diego has not asked about that you want us to ask about in future surveys?,"1 - Yes, 2 - No"
Q17,"Are you satisfied with the process of reporting problems (i.e., potholes) to the City?","1 - Yes, 2 - No, 9 - Don't Know"
Q18,What would be your preferred method for reporting problems to the City?,"1 - Mobile application, 2 - Web site, 3 - Cellular telephone, 4 - Text message, 5 - Social media (Facebook, Twitter, etc)"
Q20,What is your age?,Number of years old
Q21,How long have you lived in San Diego?,Number of years lived
Q22,Combining all persons living in your household which of the following best describes your household's annual taxable income?,"1 - Less than $25k, 2 - Between $25k and $49,999, 3 - Between $50k and $74,999, 4 - Between $75k and $99,999, 5 - Between $100k and $149,999, $150k or more"
Q23,Do you own or rent your home?,"1 - Own, 2 - Rent"
Q24,What is the primary method of transportation?,"1 - Personalized motorized vehicle (car, van, etc), 2 - Public transportation/bus, 3 - Walk, 4 - Bike, 5 - Other"
Q25,Which of the following best describes your RACE? (Check all that apply.),"1 - Black or African American, 2 - American Indian or Alaskan Native, 3 - Asian, 4 - Hawaiian or Pacific Islander, 5 - White or Caucasian, 6 - Other"
Q25_1st,First race selected,"1 - Black or African American, 2 - American Indian or Alaskan Native, 3 - Asian, 4 - Hawaiian or Pacific Islander, 5 - White or Caucasian, 6 - Other"
Q25_2nd,Second race selected,"1 - Black or African American, 2 - American Indian or Alaskan Native, 3 - Asian, 4 - Hawaiian or Pacific Islander, 5 - White or Caucasian, 6 - Other"
Q25_3rd,Third race selected,"1 - Black or African American, 2 - American Indian or Alaskan Native, 3 - Asian, 4 - Hawaiian or Pacific Islander, 5 - White or Caucasian, 6 - Other"
Q25_4th,Fourth race selected,"1 - Black or African American, 2 - American Indian or Alaskan Native, 3 - Asian, 4 - Hawaiian or Pacific Islander, 5 - White or Caucasian, 6 - Other"
Q25_5th,Fifth race selected,"1 - Black or African American, 2 - American Indian or Alaskan Native, 3 - Asian, 4 - Hawaiian or Pacific Islander, 5 - White or Caucasian, 6 - Other"
Q26,Do you consider yourself to be Hispanic/Latino?,"1 - Yes, 2 - No"
Q27,Your gender,"1 - Male, 2 - Female"
Q28,Council District,
